Feldname;Werteliste;Zugehörigkeit DIVI-MIND;Felder betreffen nur Baden-Württemberg;In FHIR umgesetzt?;Anmerkung zur Umsetzung
KeinTranspMitPat;"Grund für Einsatz ohne Transport trotz Patientenkontakt
01 = ambulante Versorgung, keine Klinikbehandlung notwendig
02 = primäre Todesfeststellung (ohne CPR durch das dokumentierende RM) 03 = Patient im Einsatzverlauf verstorben
04 = Patient lehnt Transport ab 05 = Hilfeleistung
06 = an ambulanten Sektor verwiesen (ÄBD, Hausarzt etc.) 07 = Patientenübergabe an Polizei
08 = Unterstützung eines anderen Rettungsmittels 09 = First Responder
10 = Einsatzabbruch aus Wettergründen
11 = Ausfall Rettungsmittel (Eigenunfall, technischer Defekt, Personal erkrankt)
12 = Rettungsmittel für Transport nicht geeignet
13 = Transport durch Dritte (z.B. Angehörige, Taxi) 98 = sonstige";DM;;x;ObservationDeEmsMindKeinTransportMitPatient: code #kein-transport-mit-patient, ValueSet MindKeinTransportMitPatientVS.
KeinTranspOhnePat;"Grund für Einsatz ohne Transport, da kein Patientenkontakt
01 = Von Leitstelle abbestellt / Abbruch vor Erreichen des Notfallorts 02 = Kein Patient vorgefunden oder Patient bereits abtransportiert 03 = (Vorsorgliche) Bereitstellung
04 = Gebietsabdeckung
05 = Personaltransport (Notarztzubringer/LNA, OrgL,…) 06 = Materialtransport (Blut, spez. Devices,…)
07 = Einsatzabbruch aus Wettergründen
08 = Ausfall Rettungsmittel (Eigenunfall, technischer Defekt, Personal erkrankt) 98 = sonstige";DM;;x;ObservationDeEmsMindKeinTransportOhnePatient: code #kein-transport-ohne-patient, ValueSet MindKeinTransportOhnePatientVS.
DokRM;"Typ des dokumentierenden Rettungsmittels
01 = NEF
02 = RTW
03 = KTW
04 = NAW
05 = RTH
06 = ITH
07 = ITW
08 = Langstreckenflugzeug
09 = Ambulanzflugzeug
10 = First Responder
11 = Bergrettung
12 = Wasserrettung
13 = Selbstfahrender NA
14 = Telenotarzt
15 = Single Responder (Gemeinde-NotSan, REF, AEF,...)
16 = LNA
17 = OrgL
18 = N-KTW
19 = MIC
20 = S-RTW (Schwerlast) 98 = Sonstige";DM;;x;ObservationDeEmsMindDokumentierendesRettungsmittel: code #dokumentierendes-rettungsmittel, ValueSet MindDokumentierendesRettungsmittelVS.
BeteilRM;"Typen der am Einsatz beteiligten Rettungsmittel 01 = NEF
02 = RTW
03 = KTW
04 = NAW
05 = RTH
06 = ITH
07 = ITW
08 = Langstreckenflugzeug
09 = Ambulanzflugzeug
10 = First Responder
11 = Bergrettung
12 = Wasserrettung
13 = Selbstfahrender NA
14 = Telenotarzt
15 = Single Responder (Gemeinde-NotSan, REF, AEF,...)
16 = LNA
17 = OrgL
18 = N-KTW
19 = MIC
20 = S-RTW (Schwerlast)
21 = Ersthelfer-App
98 = Sonstige";DM;;x;ObservationDeEmsMindBeteiligteRettungsmittel: code #beteiligte-rettungsmittel, ValueSet MindBeteiligtesRettungsmittelVS.
AerztlQualifikation;"Notärztl./Transportärztl.Fachgebiet/Qualifikation
-1 = nicht dokumentiert 01 = Innere
02 = Chirurgie
03 = Anästhesie
04 = Pädiatrie
05 = Allgemeinmedizin
06 = Neurologie
07 = Zusatzbezeichnung Notfallmedizin 08 = Zusatzbezeichnung Intensivmedizin
09 = Zusatzbezeichnung Klinische Akut- und Notfallmedizin
10 = Ärztin/Arzt in Weiterbildung
11 = Fachärztin/-arzt
98 = Andere Fachrichtung";DM;;x;ObservationDeEmsMindAerztlicheQualifikation: code #aerztliche-qualifikation, ValueSet MindAerztlicheQualifikationVS.
StatusPersonal;"Status des Personals
-1 = nicht dokumentiert 01 = Ärztin/Arzt
02 = Notfallsanitäter/in
03 = Rettungsassistent/in
04 = Rettungssanitäter/in
05 = Intensivpflegepersonal
98 = Sonstige";DM;;x;ObservationDeEmsMindPersonalstatus: code #personalstatus, ValueSet MindPersonalstatusVS.
SymptombeginnVor24h;"Bestehen die Symptome länger als 24 Stunden? 00 = unbekannt
01 = Ja
02 = Nein";DM;;x;ObservationDeEmsMindSymptombeginnVor24h: code #symptombeginn-vor-24h, valueBoolean (true = 'Ja, > 24 h'). MIND-Wert 00 (unbekannt) wird über dataAbsentReason abgebildet.
SymptombeginnGesichert;"Ist der Symptombeginn gesichert oder geschätzt? 01 = Symptombeginn gesichert
02 = Symptombeginn geschätzt";DM;;x;ObservationDeEmsMindSymptombeginnGesichert: code #symptombeginn-gesichert. Abweichung: boolesche Inversion gegenüber MIND - true = geschätzt, false = gesichert.
Alter;"Patientenalter
Wertebereich = 000:01 bis 125:00 (Jahre:Monate)
999:00 = Neugeboren: Geburt bis 28. Tag";DM;;x;"ObservationDeEmsMindAlter: code #patientenalter mit Komponenten alter-jahre/alter-monate. Abweichung: MIND-Kodierung als jjj:mm sowie Maximalalter 125:00 entfallen; erlaubt sind 0..999 Jahre (mind-alter-jahre-bereich) und 0..11 Monate."
ValiditaetAlter;"Ist das Alter gesichert oder geschätzt? 01 = gesichert
02 = geschätzt";DM;;x;ObservationDeEmsMindAltersvaliditaet: code #altersvaliditaet, valueBoolean. Abweichung: boolesche Inversion - true = geschätzt, false = sicher bekannt.
Geschlecht;"Geschlecht des Patienten
-1= nicht dokumentiert
01 = männlich
02 = weiblich
03 = divers";DM;;x;"PatientDeEmsMindR4: Patient.gender 1..1 (MIND-Pflichtfeld) mit Extension gender-amtlich-de; MIND-Wert -1 (unbekannt) -> FHIR unknown. Abweichung: Name, Geburtsdatum, Adresse und Identifikatoren sind aus Datenschutzgründen auf 0..0 gesetzt."
Bewusstsein1 Bewusstsein2;"Bewusstseinslage
-1 = nicht untersucht
01 = analgosediert/Narkose
02 = wach
03 = reagiert auf Ansprache 04 = reagiert auf Schmerzreiz 05 = bewusstlos
98 = Sonstige
99 = nicht beurteilbar";DM;;T;Terminologie definiert: mind-bewusstseinslage-cs und MindBewusstseinslageVS (in MIND-Klinische-Befunde-VS). Noch kein Observation-Profil.
GlasgowComaScale1 GlasgowComaScale2;"Glasgow Coma Scale
Wertebereich = 3 bis 15
-1 = nicht untersucht 99 = nicht beurteilbar";DM;;;
NeurologischeAuffaelligkeiten1;"Akute neurologische Auffälligkeiten (ZNS, PNS)
-1 = nicht untersucht 00 = keine
01 = Gesichtslähmung (kein Lächeln/hängender Mundwinkel) F
02 = Motorik Arme (einseitiges Absinken <10s/kein Anheben/keine Bewegung) A 03 = Motorik Beine (einseitiges Absinken <5s/kein Anheben/keine Bewegung)  04 = Sehstörung/Doppelbilder
05 = Sprachstörung (Aphasie)/Sprechstörung (Dysarthrie) S 06 = Schluckstörung
07 = Sensibilitätsstörung
08 = Gangunsicherheit/Schwindel
09 = Herdblick
10 = Übelkeit/Erbrechen
11 = Kopfschmerzen
12 = Meningismus
13 = Babinski Zeichen
14 = Querschnittsymptomatik
97 = vorbestehendes neurolog. Defizit
98 = Sonstige
99 = nicht beurteilbar";DM;;T;Terminologie definiert: mind-neurologische-auffaelligkeit-cs (BEFAST/sNIHSS-EMS-Items). Noch kein Observation-Profil.
SystolischerBlutdruck1 SystolischerBlutdruck2;"Systolischer Blutdruck - Messwert in mmHg
Wertebereich = 0 bis 300
-1 = nicht gemessen 999 = nicht messbar";DM;;;
EKGBefund1 EKGBefund2;"EKG-Befund
-1 = kein EKG durchgeführt 01 = Sinusrhythmus
02 = absolute Arrhythmie 03 = AV-Block II
04 = AV-Block III
05 = schmale QRS-Tachykardie 06 = breite QRS-Tachykardie 07 = Kammerflimmern
08 = pulslose elektrische Aktivität 09 = Asystolie
10 = Schrittmacherrhythmus
11 = signifikante ST-Hebungen
12 = Schenkelblock
98 = Sonstige
99 = nicht durchführbar/nicht beurteilbar";DM;;T;Terminologie definiert: mind-ekg-befund-cs und MindEkgbefundVS. Noch kein Observation-Profil.
Herzfrequenz1 Herzfrequenz2;"Herzfrequenz - Messwert in /min
Wertebereich = 0 bis 300
-1 = nicht gemessen 999 = nicht beurteilbar";DM;;;
Atemfrequenz1 Atemfrequenz2;"Atemfrequenz
Wertebereich = 0 bis 98
-1 = nicht gemessen 99 = nicht beurteilbar";DM;;;
Sauerstoffsaettigung1 Sauerstoffsaettigung2;"Sauerstoffsättigung - Messwert in %
Wertebereich = 0 bis 100
-1 = nicht gemessen 999 = nicht messbar";DM;;;
Rekapillarisierungszeit;"Rekapillarisierungszeit - Messwert in s
Wertebereich = 1 bis 10
-1 = nicht gemessen
11 = größer 10 Sekunden";DM;;;
"Schmerzempfinden1
Schmerzempfinden2";"Schmerzempfinden - nach Numerischer Rating Scala (NRS)
Wertebereich = 0 bis 10
-1 = nicht gemessen 99 = nicht beurteilbar";DM;;;
Schmerzerleben;"Schmerzerleben durch Patienten
00 = tolerabel
01 = nicht tolerabel";DM;;T;Terminologie definiert: mind-schmerzerleben-cs und MindSchmerzerlebenVS (Kapitel Uebergabe). Noch kein Observation-Profil.
Blutzuckerwert1 Blutzuckerwert2;"Blutzucker
Messwert in mg/dl bzw. mmol/l
Wertebereich = 0 bis 900 bei Einheit mg/dl bzw. Wertebereich = 0.0 bis 50.0 bei Einheit mmol/l
-1 = nicht gemessen
997 = ""low""
998 = ""high""
999 = nicht messbar";DM;;;
BlutzuckerEinheit;"01 = mg/dl
02 = mmol/l";DM;;;
Temperatur;"Temperatur
Messwert in Grad Celsius
Wertebereich = 20.0 bis 50.0
-1.0 = nicht gemessen
99.9 = nicht messbar";DM;;;
Atmung1 Atmung2;"Klinische Befunde Atmung
-1 = nicht untersucht
00 = unauffällige Spontanatmung 01 = Dyspnoe
02 = Zyanose
03 = Spastik
04 = Rasselgeräusche
05 = Stridor
06 = Atemwegsverlegung
07 = Schnappatmung
08 = Apnoe
09 = Beatmung
10 = Hyperventilation
98 = Sonstige
99 = nicht beurteilbar";DM;;T;Terminologie definiert: mind-atmung-cs und MindAtmungVS. Noch kein Observation-Profil.
Hautbefunde;"Hautbefunde
-1 = nicht untersucht 00 = unauffällig
01 = Kalt-Schweissigkeit 02 = Stehende Hautfalten 03 = Ödeme
04 = blass/fahl
05 = Dekubitus
06 = Exanthem/Erythem
07 = Marmorierung
08 = Ikterus
98 = Sonstige
99 = nicht beurteilbar";DM;;T;Terminologie definiert: mind-hautbefund-cs und MindHautbefundVS. Noch kein Observation-Profil.
"Psyche1
Psyche2";"Psychischer Zustand
-1 = nicht untersucht 00 = unauffällig
01 = aggressiv
02 = depressiv
03 = wahnhaft
04 = verwirrt
05 = verlangsamt
06 = manisch
07 = erregt
08 = ängstlich
09 = suizidal
10 = motorisch unruhig
98 = Sonstige
99 = nicht beurteilbar";DM;;T;Terminologie definiert: mind-psychischer-zustand-cs und MindPsychischerZustandVS. Noch kein Observation-Profil.
Pupillenweite1 Pupillenweite2;"Pupillenweite
-1 = nicht untersucht 01 = beidseits eng
02 = beidseits mittelweit 03 = beidseits weit
04 = Anisokorie
05 = entrundet
98 = Sonstige
99 = nicht beurteilbar";DM;;T;Terminologie definiert: mind-pupillenweite-cs und MindPupillenweiteVS. Noch kein Observation-Profil.
"Lichtreaktion1
Lichtreaktion2";"Lichtreaktion
-1 = nicht untersucht 00 = beidseits prompt 01 = beidseits träge 02 = beidseits keine 03 = Seitendifferenz
98 = Sonstige
99 = nicht beurteilbar";DM;;T;Terminologie definiert: mind-lichtreaktion-cs und MindLichtreaktionVS. Noch kein Observation-Profil.
EtCO2Wert1 EtCO2Wert2;"erster / letzter gemessener etCO2 Wert (unter Beatmung in mmHg gemessen)
Wertebereich = 0 bis 120
-1 = nicht gemessen 999 = nicht messbar";DM;;;
VBeatmung;"Beatmung (außer Heimbeatmung)
01 = Ja
02 = Nein";DM;x;;"Betrifft nur Baden-Württemberg (BW-markiert); nicht umgesetzt."
VBeatmungDetail;"differenzierte Beatmung 01 = Ja
02 = Nein";DM;x;;"Betrifft nur Baden-Württemberg (BW-markiert); nicht umgesetzt."
KatecholaminPflicht;"Katecholaminpflichtigkeit 01 = Ja
02 = Nein";DM;x;;Nicht umgesetzt.
KatecholaminTherapie;"differenzierte Katecholamin-Therapie
01 = Ja
02 = Nein";DM;x;;Nicht umgesetzt.
FortlaufendSedierung;"fortlaufende Sedierung/Narkose 01 = Ja
02 = Nein";DM;x;;Nicht umgesetzt.
VigilanzMinderung;"deutliche Vigilanzminderung mit Einschränkung von Schutzreflexen 01 = Ja
02 = Nein";DM;x;;Nicht umgesetzt.
InvasivBlutdruck;"invasive Blutdruckmessung 01 = Ja
02 = Nein";DM;x;;Nicht umgesetzt.
SpezDevices;"Spezielle Devices
-1 = keine speziellen Devices eingesetzt 01 = Impella
02 = externer Schrittmacher 03 = IABP
04 = ECMO
98 = Sonstige";DM;x;T;Terminologie definiert: mind-spezielle-devices-cs und MindSpezielleDevicesVS. Noch kein Profil.
AnzahlPerfusor;"Anzahl der Perfusoren
Einstellige numerische Angabe (0 bis 9)";DM;x;;Nicht umgesetzt.
IndikationArztbegleitung;"Indikation Arztbegleitung gegeben 01 = Ja
02 = Nein";DM;x;;Nicht umgesetzt.
ZDringlichkeit;"Zeitliche Dringlichkeit
01 = Notfall - schnellstmöglich, vitale Indikation 02 = dringlich - zeitnah, keine vitale Indikation
03 = planbar - Stunden oder Tage, nicht dringlich";DM;x;T;Terminologie definiert: mind-zeitliche-dringlichkeit-cs und MindZeitlicheDringlichkeitVS. Noch kein Profil.
IndikationIT;"Indikation Intensivtransport 00 = nein
01 = ja, Patientenzustand
02 = ja, intensivmedizinische Personalqualifikation erforderlich
03 = ja, medizintechnische Ausstattung der Regelrettung nicht ausreichend 98 = ja, Sonstiges";DM;x;T;Terminologie definiert: mind-indikation-intensivtransport-cs und MindIndikationIntensivtransportVS. Noch kein Profil.
Diagnose;"ZNS Erkrankungen
1100 = Hirninfarkt, TIA, intrakranielle Blutung (1101 bis 1104)
1101 = TIA
1102 = Hirninfarkt
1103 = ICB (klin. Diagn.) 1104 = SAB (klin. Diagn.) 1105 = Krampfanfall
1106 = Fieberkrampf 1107 = Status Epilepticus
1108 = Meningitis - Encephalitis 1198 = sonstige Erkrankung ZNS";DM;;T;Terminologie vollständig definiert: mind-diagnose-cs (inkl. Trauma-Katalog 1100-9999 und DiagnoseSonstige-Hauptcodes 1x98) und MindDiagnoseVS. Verwendendes Profil (Observation/Kondition) noch offen.
;"Herz/Kreislauf Erkrankungen 1201 = ACS
1202 = STEMI VW
1203 = STEMI HW
1204 = Thoraxschmerz unklarer Genese 1205 = Kardiogener Schock
1206 = tachykarde Rhythmusstörung 1207 = bradykarde Rhythmusstörung 1208 = PM-Fehlfunktion
1209 = ICD-Fehlfunktion
1210 = Lungenembolie
1211 = Herzinsuffizienz
1212 = Lungenödem
1213 = hypertensive Entgleisung 1214 = hypertensiver Notfall
1215 = Aortenaneurysma/-dissektion
1216 = Hypotonie
1217 = orthostatische Fehlregulation 1218 = Synkope
1219 = Thrombose/arterieller Verschluss 1220 = Herz-Kreislauf-Stillstand
1221 = hämorrhagischer Schock
1298 = sonstige Erkrankung Herz-Kreislauf";DM;;T;
;"Atemwegserkrankungen 1301 = Asthma (Anfall) 1302 = Status Asthmaticus 1303 = exacerbierte COPD 1304 = Aspiration
1305 = Pneumonie/Bronchitis
1306 = Epiglottitis
1307 = Pseudokrupp
1308 = anderer respiratorischer Infekt 1309 = Hyperventilationssyndrom
1310 = Spontanpneumothorax
1311 = Hämoptysis
1312 = Dyspnoe unklarer Ursache 1398 = sonstige Erkrankung Atmung";DM;;T;
;"Abdominelle Erkrankungen 1401 = akutes Abdomen 1402 = obere GI Blutung 1403 = untere GI Blutung 1404 = Kolik (Galle, Niere,...)
1405 = (Infektiöse) Gastroenteritis 1406 = Mesenterialinfarkt
1498 = sonstige Erkrankung Abdomen";DM;;T;
;"Psychiatrische Erkrankungen
1501 = Depression, Angst 1502 = Manie, Psychose
1503 = Entzugssymptomatik, Delir 1504 = Suizidalität
1505 = psychosoziale Krise
1598 = sonstige Erkrankung Psychiatrie";DM;;T;
;"Störungen des Stoffwechsels sowie des Wasser- und Elektrolythaushalts 1601 = Hypoglykämie
1602 = Hyperglykämie
1603 = Urämie/ANV
1604 = Exsikkose
1605 = Elektrolytstörungen
1698 = sonstige Erkrankung Stoffwechsel";DM;;T;
;"Gyn-/Geburtshilfe Notfälle
1701 = Schwangerschaft > 35. SSW (zur Entbindung in die Klinik) 1702 = Schwangerschaftskomplikation (z. B. Eklampsie)
1703 = Präklinische Geburt 1704 = Extrauterine Gravidität 1705 = vaginale Blutung
1798 = sonstige Erkrankung Gynäkologie";DM;;T;
;"Sonstige Erkrankungen  1801 = Anaphylaxie Grad 1/2 1802 = Anaphylaxie Grad 3/4 1803 = Intoxikation Alkohol 1804 = Intoxikation Drogen
1805 = Intoxikation Medikamente 1806 = sonstige Intoxikation 1807 = akzidentelle Intoxikation 1808 = Sepsis/sept. Schock
1809 = Hochkontagiöse Erreger (SARS, HKLE,...) 1810 = sonstige Infektionserkrankungen
1811 = Hitzeerschöpfung, Hitzschlag 1812 = Unterkühlung/Erfrierung
1813 = SIDS
1814 = akute Lumbago 1815 = Palliative Situation
1816 = medizinische Behandlungskomplikation 1817 = Epistaxis/HNO-Erkrankung
1818 = urologische Erkrankung 1819 = Augenerkrankung
1820 = sonstiger akuter Schmerzzustand 1821 = Schock unklarer Genese
1822 = Erysipel
1898 = sonstige Erkrankung
1899 = führendes soziales Problem
9999 = keine Erkrankung/Verletzung feststellbar";DM;;T;
;"SHT
2001 = leicht
2002 = mittel
2003 = schwer
2004 = lebensbedrohlich oder tödlich";DM;;T;
;"Trauma Gesicht/Kopf/Hals 2101 = leicht
2102 = mittel
2103 = schwer
2104 = lebensbedrohlich oder tödlich";DM;;T;
;"Trauma HWS 2201 = leicht
2202 = mittel
2203 = schwer
2204 = lebensbedrohlich oder tödlich";DM;;T;
;"Trauma Thorax 2301 = leicht
2302 = mittel
2303 = schwer
2304 = lebensbedrohlich oder tödlich";DM;;T;
;"Trauma Abdomen 2401 = leicht
2402 = mittel
2403 = schwer
2404 = lebensbedrohlich oder tödlich";DM;;T;
;"Trauma BWS/LWS 2501 = leicht
2502 = mittel
2503 = schwer
2504 = lebensbedrohlich oder tödlich";DM;;T;
;"Trauma Becken 2601 = leicht
2602 = mittel
2603 = schwer
2604 = lebensbedrohlich oder tödlich";DM;;T;
;"Trauma obere Extremität 2701 = leicht
2702 = mittel
2703 = schwer
2704 = lebensbedrohlich oder tödlich";DM;;T;
;"Trauma untere Extremität 2801 = leicht
2802 = mittel
2803 = schwer
2804 = lebensbedrohlich oder tödlich";DM;;T;
;"Trauma Weichteile 2901 = leicht
2902 = mittel
2903 = schwer
2904 = lebensbedrohlich oder tödlich";DM;;T;
;"Trauma Gefäßverletzungen
2911 = leicht
2912 = mittel
2913 = schwer
2914 = lebensbedrohlich oder tödlich";DM;;T;
;"Spezielle Traumata
3001 = Verbrennung/Verbrühung
3002 = Inhalationstrauma/Rauchgasinhalation
3003 = Elektrounfall
3004 = Verätzung
3005 = (Beinahe-) Ertrinken 3006 = Tauchunfall
3098 = Sonstige";DM;;T;
Verletzungsmuster;"Verletzungsmuster 01 = Einzelverletzung
02 = Mehrfachverletzung
03 = Polytrauma (nach Tscherne)";DM;;T;Terminologie definiert: mind-verletzungsmuster-cs und MindVerletzungsmusterVS. Noch kein Profil.
Unfallursache;"Unfallursache 01 = Unfall
02 = Verdacht auf Gewaltanwendung 03 = Verdacht auf Suizid(versuch) 99 = nicht bekannt";DM;;T;Terminologie definiert: mind-unfallursache-cs und MindUnfallursacheVS. Noch kein Profil.
Unfallmechanismus;"Unfallmechanismus
01 = stumpf
02 = penetrierend
03 = Amputation 99 = nicht bekannt";DM;;T;Terminologie definiert: mind-unfallmechanismus-cs und MindUnfallmechanismusVS. Noch kein Profil.
Unfallhergang;"Unfallhergang
01 = PKW-Insasse
02 = LKW-Insasse
03 = Bus-Insasse
04 = Motorradfahrer/-sozius
05 = Fahrrad
06 = unterstütztes Fahrrad (E-Bike/Pedelec) 07 = E-Scooter
08 = Fußgänger angefahren 09 = sonstiger Verkehrsunfall
10 = (Ab)Sturz mit Fallhöhe mehr als 3m (Kinder jünger als 2 Jahre: Fallhöhe mehr als 90cm, Kinder 2-14 Jahre: Fallhöhe mehr als 1,5m)
11 = (Ab)Sturz mit Fallhöhe maximal 3m (Kinder jünger als 2 Jahre: Fallhöhe maximal 90cm, Kinder 2-14 Jahre: Fallhöhe maximal 1,5m)
12 = ebenerdiger Sturz
13 = Schlagverletzung (Gegenstand, Ast,…)
14 = Schussverletzung
15 = Stichverletzung
16 = Gewaltverbrechen
17 = Explosion/Verpuffung (thermomech. Kombiverletzung)
18 = Verschüttung
19 = Arbeitsunfall
20 = Sportunfall
98 = andere Unfallarten
99 = nicht bekannt";DM;;T;Terminologie definiert: mind-unfallhergang-cs und MindUnfallhergangVS. Noch kein Profil.
HelmPat;"Helm Patient 00 = unbekannt
01 = Ja
02 = Nein";DM;;;
NACAScore;"NACA-Score
01 = geringfügige Störung 02 = ambulante Abklärung 03 = stationäre Behandlung
04 = akute Lebensgefahr nicht auszuschließen 05 = akute Lebensgefahr
06 = primär erfolgreiche Reanimation 07 = Tod
99 = nicht beurteilbar";DM;;T;Terminologie definiert: mind-naca-score-cs und MindNacaScoreVS. Noch kein Profil.
MNACAScore;"M-NACA Score
02 = leichte Störung 03 = mäßige Störung
04 = drohende Lebensgefahr 05 = akute Lebensgefahr
06 = erfolgreiche Reanimation
07 = Biolog. Tod vorliegend - erfolglose Reanimation 99 = nicht errechenbar";DM;;T;Terminologie definiert: mind-mnaca-score-cs und MindMnacaScoreVS. Noch kein Profil.
Airway;"Airway Maßnahmen
-1 = keine Maßnahmen durchgeführt
01 = Freimachen/Freihalten der Atemwege (z.B. Guedel/WendlTubus)/Absaugen 02 = Maskenbeatmung unmöglich
03 = supraglott. Atemwegshilfe SGA 04 = Atemwegszugang erschwert  05 = Endotrachealtubus
06 = Intubation erschwert, mehr als 2 Versuche 07 = Koniotomie/chir. Atemweg
08 = Trachealkanülenwechsel
98 = Sonstige";DM;;T;Terminologie definiert: mind-airway-massnahme-cs und MindAirwayMassnahmeVS. Noch kein Profil.
Atemunterst;"Atemunterstützung - Beatmung
-1 = keine Atemunterstützung durchgeführt 01 = Sauerstoffgabe (Sonde/Maske)
02 = manuell unterstützte Spontanatmung (Maske/Beutel)
03 = manuelle Beatmung bei fehlender Spontanatmung (Maske/Beutel) 04 = maschinell unterstützte Maskenbeatmung  (NIV)
05 = maschinelle invasive Beatmung (unterstützt oder kontrolliert) 98 = Sonstige";DM;;T;Terminologie definiert: mind-atemunterstuetzung-cs und MindAtemunterstuetzungVS. Noch kein Profil.
CirculationZugang;"Medikamentenzugang
-1 = kein Zugang gelegt 01 = PVK
02 = ZVK
03 = Shaldon- oder anderer großlumiger Katheter 04 = IO Punktion
97 = Zugang vorhanden/durch Andere
98 = Sonstige";DM;;T;Terminologie definiert: mind-circulation-zugang-cs und MindCirculationZugangVS. Noch kein Profil.
